,,"3H- 4 card raise, non minimum",3NT- Serious slam try,cue bid,
,,,New Suit – cue bid,cue bid,
,,,,,
,,,,,
,,"4C/4D- 4 card support, limited splinter",New Suit – cue bid,cue bid,
,,,,,
,,,,,
,,"3NT- 3 card H support, non minimum",New Suit – cue bid,cue bid,
,,,,,
,,4H- minimum with 3 card H support (may be 5422),New Suit – cue bid,,
,,,,,
,,,,,
1S,2S,3C/3D/3H- game try (suit requires help),New suit- no help but values in non minimum,Natural,
Natural 4+, Constructive Raise*,,"3S/4S- no help, minimum/help",,
10-21pts,but limited (5-10pts),,,,
,4+ card support 5-8pts,2NT- likely 17-18 balanced,New suit- likely 5+suit with only 3 card support,Natural,
,3 card support 7-10pts,,"3S- minimum, usually 4 card support",Natural,
,nb. 4+ card support,,,,
,9+pts via 2NT/splinter,3S- obstructive raise (5+ minimum),responder passes,,
,3 card support 5-6pts or,,,,
,11-12pts via 1NT/2C,"4C/4D/4H- self splinter, strong with good suit",cue bids,,
,,,,,
,,,,,
,,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
1S,2NT,All sequences are similar to those following 1H-2NT:,,,
Natural 4+,4+ support,3C- non minimum (a hand which would make a,3D- asking about hand type,3S- no shortage (6+S),
10-21pts,sound raise to 3+,       Slam try opposite a raise to 3),      (likely to be 12+ with no shortage),3H- any shortage (3S asks),
,,,,4C/4D- strong 5-5,
,,,,3NT- no shortage (5S),
,,,3S- raise to three only,3NT- serious try,
,,,,cue bids (limited),
,,,"4C/4D/4H- Splinter, 14+pts",cue bids,
,,,"3NT- any void, 14+pts",4C- asks for void,
,,,3H- specifically 5 good H and 4 S (9-11pts),Natural (cue bid),
,,,,,
,,,,,
,,"3D- usually 5+spades, usually no shortage",3S – raise to 3 only,passes or raises,
,,Forcing to 3S,New Suit- cue bid (limited),cue bids,
,,,3NT- Serious slam try,cue bids,
,,,,,
,,,,,
,,3S- 11-13pts balanced (only 4H),3NT- alternative (not Serious),passes or corrects,
,,,New Suit – cue bid,cue bids,
,,,,,
,,,,,
,,"3H- 5+spades, any shortage",3S- asks for shortage,4C/4D/4H- singleton,
,,,,3NT- any void (4C-?),
,,,New Suit- cue bid (limited),cue bids,
,,,,,
,,,,,
,,3NT- 17-18pts balanced (only 4S),New Suit – cue bid,cue bids,
,,,,,
,,,,,
,,4C/4D/4H- concentrated 5-5,New Suit – cue bid,cue bids,
,,               (no control in other suits),,,
,,,,,
,,"4S- minimum with good 6 card S suit,",,,
,,      (probably no shortage),,,
,,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
1S,3C*,"3S- long spade suit, minimum",Natural,Natural,
Natural 4+,"6+ clubs, invit",,,,
10-21pts,"9-12pts,","New suit- values, may be natural",Natural,Natural,
,no fit (<Hxx),,,,
,*(FIT-JUMP by,3NT- to play,,,
,passed hand,,,,
,Promising 4+ sup),4C- agrees clubs,cue bids,cue bids,
,,,,,
,,,,,
1S,3D*,Sequences identical to those after 1S-3C:,,,
Natural 4+,"6+ diamonds, invit",,,,
10-21pts,"9-12pts,","3S- long spade suit, minimum",Natural,Natural,
,no fit (<Hxx),"New suit- values, may be natural",Natural,Natural,
,*(FIT-JUMP by,3NT- to play,,,
